Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2018-07-10,190.350006104,248.630004883,71.7399978638,42.8600006104,127.589996338,70.9899978638,126.970001221,203.539993286,13.625,1152.83996582,144.710006714,52.1599998474,102.120002747,253.25,46.9900016785,85.6999969482,113.190002441,69.4899978638,108.620002747,83.6600036621
2018-07-11,187.880004883,248.119995117,70.0500030518,42.5699996948,123.519996643,69.0699996948,124.660003662,202.539993286,13.4519233704,1153.90002441,144.940002441,51.2000007629,101.980003357,247.529998779,47.6399993896,83.9300003052,110.660003662,68.3399963379,106.36000061,82.5899963379
2018-07-12,191.029998779,254.869995117,71.4499969482,43.5800018311,124.260002136,70.2300033569,124.13999939,206.919998169,13.4519233704,1183.47998047,146.449996948,52.3499984741,104.190002441,251.229995728,48.1500015259,84.5599975586,111.13999939,67.4700012207,106.790000916,82.6900024414
2018-07-13,191.330001831,258.589996338,72.0,41.7799987793,124.040000916,70.5800018311,125.959999084,207.320007324,13.3557691574,1188.81994629,145.899993896,52.2200012207,105.430000305,249.320007324,48.6300010681,83.6399993896,111.809997559,68.0800018311,107.339996338,83.3099975586
2018-07-16,190.910003662,254.679992676,70.5800018311,42.5,122.980003357,69.3099975586,124.61000061,207.229995728,13.3653850555,1183.85998535,145.460006714,52.0099983215,104.910003662,248.199996948,48.4599990845,82.5299987793,111.319999695,67.4199981689,106.300003052,82.4899978638
2018-07-17,191.449996948,258.309997559,70.2799987793,42.3400001526,121.910003662,69.4800033569,124.319999695,209.990005493,13.1634616852,1198.80004883,143.490005493,51.75,105.949996948,253.690002441,48.9000015259,82.6900024414,111.059997559,66.7399978638,106.089996338,82.3099975586
2018-07-18,190.399993896,259.779998779,70.3499984741,42.2099990845,121.529998779,69.6900024414,123.580001831,209.36000061,13.221154213,1195.88000488,144.520004272,51.7200012207,105.120002747,251.699996948,48.6399993896,82.9599990845,110.900001526,67.0599975586,106.650001526,82.2200012207
2018-07-19,191.880004883,257.679992676,69.6900024414,42.4000015259,121.669998169,69.8000030518,122.38999939,208.089996338,13.2019233704,1186.95996094,149.240005493,51.9799995422,104.400001526,252.029998779,48.4399986267,82.9800033569,110.900001526,66.9199981689,107.0,82.0100021362
2018-07-20,191.440002441,257.540008545,70.0100021362,42.0099983215,122.269996643,69.2799987793,122.349998474,209.940002441,12.6153850555,1184.91003418,146.350006104,51.9099998474,106.269996643,250.88999939,48.5200004578,83.0800018311,110.36000061,66.0899963379,106.209999084,81.4000015259
2018-07-23,191.61000061,259.470001221,69.9800033569,42.0600013733,121.330001831,67.8899993896,122.86000061,210.910003662,12.4903850555,1205.5,145.699996948,52.3100013733,107.970001221,249.410003662,48.6699981689,82.4499969482,110.440002441,65.7399978638,106.279998779,81.4000015259
2018-07-24,193.0,257.489990234,70.8499984741,42.3899993896,123.849998474,68.8700027466,125.620002747,214.669998169,12.6153850555,1248.07995605,146.380004883,52.1800003052,107.660003662,248.710006714,48.6699981689,83.4599990845,111.220001221,65.5199966431,107.269996643,83.0100021362
2018-07-25,194.820007324,263.170013428,71.5100021362,43.1599998474,124.900001526,70.1999969482,128.380004883,217.5,12.6057691574,1263.69995117,146.619995117,52.4300003052,110.830001831,251.869995117,48.9500007629,84.3300018311,112.349998474,65.7799987793,109.330001831,83.5899963379
2018-07-26,194.210006714,261.929992676,71.8000030518,43.5299987793,123.949996948,71.2600021362,128.86000061,176.259994507,12.6442308426,1268.32995605,146.710006714,52.1599998474,109.620002747,254.839996338,48.8699989319,84.1600036621,116.0,66.8600006104,116.830001831,84.2399978638
2018-07-27,190.979995728,254.809997559,71.4499969482,42.5699996948,125.970001221,71.2600021362,129.149993896,174.88999939,12.5576925278,1238.5,145.149993896,47.6800003052,107.680000305,252.020004272,48.6300010681,83.4700012207,118.790000916,67.0400009155,116.349998474,81.9199981689
2018-07-30,189.910003662,242.320007324,72.2699966431,42.1699981689,127.830001831,70.5299987793,129.899993896,171.059997559,12.653845787,1219.73999023,145.490005493,47.6899986267,105.370002747,244.130004883,47.7299995422,83.3099975586,122.150001526,67.5800018311,117.260002136,81.7399978638
2018-07-31,190.289993286,244.679992676,72.1699981689,42.2900009155,126.269996643,72.2799987793,128.940002441,172.580001831,13.1057691574,1217.26000977,144.929992676,48.0999984741,106.080001831,244.86000061,47.6800003052,83.9300003052,123.339996338,67.5199966431,118.349998474,81.5100021362
2018-08-01,201.5,248.009994507,71.8099975586,41.8600006104,125.38999939,71.3000030518,125.569999695,171.649993896,12.7307691574,1220.01000977,143.5,48.8100013733,106.279998779,246.470001221,47.3499984741,82.6399993896,123.010002136,66.6600036621,116.779998779,80.3899993896
2018-08-02,207.38999939,252.220001221,71.5599975586,42.5299987793,123.760002136,71.2799987793,125.930000305,176.369995117,12.6634616852,1226.15002441,142.960006714,49.4799995422,107.569999695,250.619995117,47.9000015259,82.2399978638,122.050003052,65.9400024414,115.330001831,79.9100036621
2018-08-03,207.990005493,253.279998779,71.2900009155,42.8300018311,124.050003052,71.4800033569,122.410003662,177.779998779,12.6346149445,1223.70996094,147.699996948,49.6300010681,108.040000916,252.100006104,48.4700012207,82.2900009155,121.660003662,65.8899993896,115.379997253,80.1999969482
2018-08-06,209.070007324,254.11000061,71.7300033569,43.2999992371,124.300003052,71.6200027466,123.900001526,185.690002441,12.596154213,1224.77001953,146.029998779,49.2999992371,108.129997253,254.029998779,48.6699981689,82.3000030518,122.540000916,65.7399978638,114.88999939,80.1800003052
2018-08-07,207.11000061,253.38999939,72.9000015259,43.5800018311,125.180000305,74.6600036621,124.430000305,183.809997559,12.653845787,1242.2199707,147.009994507,49.7000007629,108.879997253,256.950012207,48.4799995422,81.9400024414,122.720001221,66.6800003052,116.709999084,81.2699966431
2018-08-08,207.25,253.830001831,71.3899993896,43.8400001526,123.879997253,74.0400009155,122.769996643,185.179992676,12.5480766296,1245.60998535,146.88999939,49.9599990845,109.489997864,258.420013428,48.3899993896,81.1999969482,122.980003357,66.4100036621,115.900001526,80.7300033569
2018-08-09,208.880004883,253.800003052,71.75,43.7799987793,122.529998779,74.0500030518,122.309997559,183.089996338,12.4423074722,1249.09997559,144.770004272,50.1399993896,109.669998169,256.459991455,48.5400009155,77.7900009155,122.180000305,65.4000015259,115.13999939,80.3199996948
